departement,annee,Autres coups et blessures volontaires,Cambriolages de logement,Coups et blessures volontaires,Coups et blessures volontaires intrafamiliaux,Destructions et dégradations volontaires,Trafic de stupéfiants,Usage de stupéfiants,Violences sexuelles,Vols avec armes,Vols d'accessoires sur véhicules,Vols dans les véhicules,Vols de véhicules,Vols sans violence contre des personnes,Vols violents sans arme,somme_ligne
01,2016,364,1258,898,291,2881,189,982,122,0,497,890,685,2384,55,11496
01,2017,419,1330,896,283,3114,95,882,112,0,349,820,511,2306,53,11170
01,2018,401,1324,902,293,3086,87,856,149,0,368,933,624,2303,42,11368
02,2016,505,465,980,426,2724,82,703,224,0,266,507,475,1619,130,9106
02,2017,476,491,900,360,2839,54,581,231,0,314,579,444,1608,130,9007
02,2018,593,646,1102,456,2657,75,714,266,0,288,1121,505,1633,133,10189
03,2016,248,556,535,216,2192,110,618,118,0,164,329,325,1477,63,6951
03,2017,319,660,657,225,2387,88,635,128,0,138,277,260,1404,78,7256
03,2018,353,618,693,253,2352,88,601,147,0,135,347,210,1331,71,7199
04,2016,137,309,291,95,925,24,319,33,0,108,508,208,1021,55,4033
04,2017,132,384,284,114,1073,17,332,40,0,61,397,149,1010,44,4037
04,2018,137,368,298,110,1088,18,330,55,0,82,475,125,914,35,4035
05,2016,135,162,241,96,940,36,400,25,0,55,216,121,1131,32,3590
05,2017,112,180,194,76,1019,39,540,35,0,27,146,98,1119,33,3618
05,2018,166,152,288,109,965,22,568,49,0,20,114,57,984,40,3534
06,2016,1995,4882,3765,1637,11380,649,3137,582,67,1133,3776,2929,16675,1752,54359
06,2017,1902,5964,3532,1494,11588,570,2595,655,76,1136,3317,2741,14029,1542,51141
06,2018,2025,4838,3859,1675,10428,721,2913,646,63,1094,3608,2349,15419,1336,50974
07,2016,212,339,430,109,1099,0,329,38,0,123,446,297,888,15,4325
07,2017,184,376,401,124,1295,0,405,54,0,113,307,272,888,27,4446
07,2018,179,282,413,107,1361,0,418,38,0,120,294,266,843,16,4337
08,2016,311,271,527,171,1597,50,458,96,0,108,292,198,1065,86,5230
08,2017,352,242,581,184,1523,25,479,121,0,67,257,147,1051,102,5131
08,2018,308,212,563,218,1525,31,455,121,0,93,207,140,1006,93,4972
09,2016,136,221,249,93,747,0,199,44,0,51,155,109,622,9,2635
09,2017,182,256,309,109,713,0,168,42,0,47,107,79,533,10,2555
09,2018,156,172,302,119,808,0,132,40,0,47,151,72,577,9,2585
10,2016,414,488,781,291,1959,77,297,156,16,168,580,268,1583,161,7239
10,2017,440,456,781,300,1870,110,422,139,6,139,464,213,1602,151,7093
10,2018,487,489,844,311,1751,87,519,187,9,118,395,246,1541,158,7142
11,2016,473,1287,877,337,2987,70,597,141,25,400,1188,521,2704,181,11788
11,2017,456,1141,866,333,2878,76,771,142,18,395,1259,503,2779,166,11783
11,2018,479,891,923,387,2829,93,549,200,19,308,1327,411,2398,123,10937
12,2016,150,208,301,141,852,70,339,78,0,76,235,116,752,19,3337
12,2017,181,242,338,147,878,101,347,72,0,77,195,95,733,23,3429
12,2018,156,232,306,135,819,39,388,88,0,57,163,114,684,29,3210
13,2016,4558,10855,7925,3067,27582,1480,6237,1248,656,5914,14800,11500,30632,5125,131579
13,2017,4647,10836,8145,3160,27136,1754,5702,1309,671,5834,13333,10430,30914,4319,128190
13,2018,5082,11279,9079,3648,24188,1640,5208,1630,679,5588,14385,10004,27951,4745,125106
14,2016,734,689,1271,460,4129,224,1247,302,18,361,1111,472,3911,320,15249
14,2017,692,744,1197,409,4407,219,1337,365,19,376,1167,545,3876,322,15675
14,2018,849,933,1417,454,3936,218,1072,409,8,320,1199,499,3748,287,15349
15,2016,49,83,100,47,456,5,77,25,0,35,148,39,331,19,1414
15,2017,61,84,115,49,416,27,113,27,0,40,86,31,351,14,1414
15,2018,64,90,117,47,488,44,182,37,0,33,93,42,298,19,1554
16,2016,313,467,591,234,2055,52,355,130,0,172,807,314,1441,104,7035
16,2017,363,561,600,218,1979,34,345,182,0,164,707,235,1439,125,6952
16,2018,320,545,620,246,1857,69,390,153,0,165,738,244,1411,123,6881
17,2016,342,1140,705,191,3351,63,784,130,0,449,978,557,3126,78,11894
17,2017,394,1135,716,218,3316,65,878,131,0,496,851,489,3083,77,11849
17,2018,431,1078,808,213,2932,82,898,170,0,414,719,526,2685,71,11027
18,2016,335,610,581,201,2098,21,600,136,11,156,361,277,1425,126,6938
18,2017,353,672,620,211,1737,21,526,156,7,226,414,283,1274,107,6607
18,2018,341,534,579,207,1740,21,663,173,8,180,335,228,1196,96,6301
19,2016,133,158,249,111,708,47,236,54,0,61,160,106,624,47,2694
19,2017,132,143,225,85,647,64,395,49,0,58,239,96,597,29,2759
19,2018,164,110,274,105,662,71,308,61,0,55,273,91,592,39,2805
21,2016,555,846,993,389,3477,165,713,212,18,377,899,531,3256,169,12600
21,2017,626,700,1084,419,3503,165,803,281,17,283,927,386,3640,205,13039
21,2018,671,714,1153,416,3354,200,920,302,23,269,900,320,3318,196,12756
22,2016,306,632,616,231,2533,84,430,129,0,199,680,319,2226,121,8506
22,2017,335,712,648,214,2407,109,480,112,0,228,626,337,2130,121,8459
22,2018,368,677,732,261,2272,95,495,169,0,228,598,305,2027,112,8339
24,2016,240,299,364,108,1329,54,320,96,0,94,313,294,1240,70,4821
24,2017,248,509,448,170,1540,44,298,101,0,126,338,224,1102,51,5199
24,2018,272,392,462,177,1288,41,281,112,0,119,353,177,1215,63,4952
