Dep,Nom Ville,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre d agents cynophiles,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année
Ain (01),AMBERIEU EN BUGEY,7,1,0,0,0,01,01AMBERIEU EN BUGEY,1004,2016
Bourg en Bresse,AMBERIEUX EN DOMBES,0,0,1,0,0,01,01AMBERIEUX EN DOMBES,1005,2016
nan,AMBRONAY,0,1,0,0,0,01,01AMBRONAY,1007,2016
nan,ANGLEFORT,0,1,0,0,0,01,01ANGLEFORT,1010,2016
nan,ARBENT,3,0,0,0,0,01,01ARBENT,1014,2016
nan,ASNIERES SUR SAONE,0,0,0,0,0,01,01ASNIERES SUR SAONE,1023,2016
nan,ATTIGNAT,1,0,0,0,0,01,01ATTIGNAT,1024,2016
nan,BAGE LA VILLE,1,0,0,0,0,01,01BAGE LA VILLE,1025,2016
nan,BAGE LE CHATEL,3,0,1,0,0,01,01BAGE LE CHATEL,1026,2016
nan,BALAN,1,0,0,0,0,01,01BALAN,1027,2016
nan,BELLEGARDE SUR VALSERINE,5,2,0,0,0,01,01BELLEGARDE SUR VALSERINE,1033,2016
nan,BELLEY,5,4,0,0,0,01,01BELLEY,1034,2016
nan,BELLIGNAT,2,0,0,0,0,01,01BELLIGNAT,1031,2016
nan,BEYNOST,3,0,0,0,0,01,01BEYNOST,1043,2016
nan,BIZIAT,0,0,1,0,0,01,01BIZIAT,1046,2016
nan,BOURG EN BRESSE,24,8,0,0,0,01,01BOURG EN BRESSE,1053,2016
nan,BOURG SAINT CHRISTOPHE,0,0,0,0,0,01,01BOURG SAINT CHRISTOPHE,1054,2016
nan,BRESSOLLES,0,0,0,0,0,01,01BRESSOLLES,1062,2016
nan,BREGNIER CORDON,0,0,1,0,0,01,01BREGNIER CORDON,1058,2016
nan,CESSY,2,0,0,0,0,01,01CESSY,1071,2016
nan,CEYZERIAT,1,0,0,0,0,01,01CEYZERIAT,1072,2016
nan,CHALAMONT,0,1,0,0,0,01,01CHALAMONT,1074,2016
nan,CHANAY,0,1,0,0,0,01,01CHANAY,1082,2016
nan,CHATEAU GAILLARD,0,0,0,0,0,01,01CHATEAU GAILLARD,1089,2016
nan,CHATILLON SUR CHALARONNE,3,0,0,0,0,01,01CHATILLON SUR CHALARONNE,1093,2016
nan,CIVRIEUX,0,0,1,0,0,01,01CIVRIEUX,1105,2016
nan,COLIGNY,1,0,0,0,0,01,01COLIGNY,1108,2016
nan,COLLONGES,2,0,0,0,0,01,01COLLONGES,1109,2016
nan,CULOZ,2,0,0,0,0,01,01CULOZ,1138,2016
nan,DAGNEUX,1,0,0,0,0,01,01DAGNEUX,1142,2016
nan,DIVONNE LES BAINS,9,0,0,0,0,01,01DIVONNE LES BAINS,1143,2016
nan,DOMPIERRE SUR VEYLE,0,0,1,0,0,01,01DOMPIERRE SUR VEYLE,1145,2016
nan,DORTAN,1,0,0,0,0,01,01DORTAN,1148,2016
nan,DOUVRES,0,0,0,0,0,01,01DOUVRES,1149,2016
nan,DRUILLAT,0,0,1,0,0,01,01DRUILLAT,1151,2016
nan,FARGES,0,0,0,0,0,01,01FARGES,1158,2016
nan,FEILLENS,0,0,0,0,0,01,01FEILLENS,1159,2016
nan,FERNEY VOLTAIRE,4,2,0,0,0,01,01FERNEY VOLTAIRE,1160,2016
nan,GENOUILLEUX,0,0,1,0,0,01,01GENOUILLEUX,1169,2016
nan,GEX,5,1,0,0,0,01,01GEX,1173,2016
nan,GORREVOD,0,0,1,0,0,01,01GORREVOD,1175,2016
nan,GRILLY,0,0,0,0,0,01,01GRILLY,1180,2016
nan,GROISSIAT,0,1,1,0,0,01,01GROISSIAT,1181,2016
nan,HAUTECOURT ROMANECHE,0,0,1,0,0,01,01HAUTECOURT ROMANECHE,1184,2016
nan,HAUTEVILLE LOMPNES,1,0,0,0,0,01,01HAUTEVILLE LOMPNES,1185,2016
nan,JASSANS RIOTTIER,3,1,0,0,0,01,01JASSANS RIOTTIER,1194,2016
nan,BOISSE,0,0,1,0,0,01,01BOISSE,1049,2016
nan,LAGNIEU,1,2,0,0,0,01,01LAGNIEU,1202,2016
nan,LOYETTES,1,1,0,0,0,01,01LOYETTES,1224,2016
nan,MANZIAT,1,0,0,0,0,01,01MANZIAT,1231,2016
nan,MASSIEUX,1,0,0,0,0,01,01MASSIEUX,1238,2016
nan,MEXIMIEUX,2,0,0,0,0,01,01MEXIMIEUX,1244,2016
nan,MIONNAY,1,0,0,0,0,01,01MIONNAY,1248,2016
nan,MIRIBEL,3,0,0,0,0,01,01MIRIBEL,1249,2016
nan,MONTHIEUX,0,0,1,0,0,01,01MONTHIEUX,1261,2016
nan,MONTLUEL,3,0,0,0,0,01,01MONTLUEL,1262,2016
nan,MONTMERLE SUR SAONE,1,1,0,0,0,01,01MONTMERLE SUR SAONE,1263,2016
