Dep,Nom Ville,Nombre d habitants,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de maîtres chiens de police municipale,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année
Ain (01),AMBERIEU EN BUGEY,14127,7,0,0,0,0,01,01AMBERIEU EN BUGEY,1004,2017
nan,AMBRONAY,2615,0,1,0,0,0,01,01AMBRONAY,1007,2017
nan,ANGLEFORT,1133,0,1,0,0,0,01,01ANGLEFORT,1010,2017
nan,ARBENT,3392,3,0,0,0,0,01,01ARBENT,1014,2017
nan,ASNIERES SUR SAONE,64,0,0,0,0,0,01,01ASNIERES SUR SAONE,1023,2017
nan,ATTIGNAT,3328,1,0,0,0,0,01,01ATTIGNAT,1024,2017
nan,BAGE LA VILLE,3177,1,0,0,0,0,01,01BAGE LA VILLE,1025,2017
nan,BAGE LE CHATEL,902,3,0,1,0,0,01,01BAGE LE CHATEL,1026,2017
nan,BALAN,2997,1,0,0,0,0,01,01BALAN,1027,2017
nan,BELIGNEUX,3300,1,0,0,0,0,01,01BELIGNEUX,1032,2017
nan,BELLEGARDE SUR VALSERINE,11809,6,2,0,0,0,01,01BELLEGARDE SUR VALSERINE,1033,2017
nan,BELLEY,9058,5,4,0,0,0,01,01BELLEY,1034,2017
nan,BELLEYDOUX,326,0,0,1,0,0,01,01BELLEYDOUX,1035,2017
nan,BELLIGNAT,3612,2,0,0,0,0,01,01BELLIGNAT,1031,2017
nan,BEYNOST,4529,4,0,0,0,0,01,01BEYNOST,1043,2017
nan,BILLIAT,601,0,0,0,0,0,01,01BILLIAT,1044,2017
nan,BIZIAT,798,0,0,1,0,0,01,01BIZIAT,1046,2017
nan,BOURG EN BRESSE,40819,23,8,0,0,0,01,01BOURG EN BRESSE,1053,2017
nan,BOURG SAINT CHRISTOPHE,1284,0,0,0,0,0,01,01BOURG SAINT CHRISTOPHE,1054,2017
nan,BRESSOLLES,871,0,0,0,0,0,01,01BRESSOLLES,1062,2017
nan,CERDON,768,0,0,1,0,0,01,01CERDON,1068,2017
nan,CESSY,4817,2,0,0,0,0,01,01CESSY,1071,2017
nan,CEYZERIAT,3118,1,0,0,0,0,01,01CEYZERIAT,1072,2017
nan,CHALAMONT,2407,0,2,0,0,0,01,01CHALAMONT,1074,2017
nan,CHANAY,640,0,1,0,0,0,01,01CHANAY,1082,2017
nan,CHATEAU GAILLARD,2053,0,0,0,0,0,01,01CHATEAU GAILLARD,1089,2017
nan,CHATILLON SUR CHALARONNE,4914,3,0,0,0,0,01,01CHATILLON SUR CHALARONNE,1093,2017
nan,CIVRIEUX,1418,0,1,0,0,0,01,01CIVRIEUX,1105,2017
nan,COLIGNY,1193,1,0,0,0,0,01,01COLIGNY,1108,2017
nan,COLLONGES,2195,3,0,0,0,0,01,01COLLONGES,1109,2017
nan,CULOZ,3071,2,0,0,0,0,01,01CULOZ,1138,2017
nan,DAGNEUX,4573,1,0,0,0,0,01,01DAGNEUX,1142,2017
nan,DIVONNE LES BAINS,9286,9,0,0,0,0,01,01DIVONNE LES BAINS,1143,2017
nan,DOMPIERRE SUR VEYLE,1234,0,0,1,0,0,01,01DOMPIERRE SUR VEYLE,1145,2017
nan,DORTAN,1845,1,0,0,0,0,01,01DORTAN,1148,2017
nan,DOUVRES,1058,0,0,0,0,0,01,01DOUVRES,1149,2017
nan,FARGES,999,0,0,0,0,0,01,01FARGES,1158,2017
nan,FEILLENS,3249,0,0,0,0,0,01,01FEILLENS,1159,2017
nan,FERNEY VOLTAIRE,9482,4,2,0,0,0,01,01FERNEY VOLTAIRE,1160,2017
nan,GENOUILLEUX,600,0,0,1,0,0,01,01GENOUILLEUX,1169,2017
nan,GEX,11687,5,1,0,0,0,01,01GEX,1173,2017
nan,GORREVOD,796,0,0,1,0,0,01,01GORREVOD,1175,2017
nan,GRILLY,792,0,0,0,0,0,01,01GRILLY,1180,2017
nan,GROISSIAT,1213,0,1,1,0,0,01,01GROISSIAT,1181,2017
nan,HAUTEVILLE LOMPNES,3739,1,0,0,0,0,01,01HAUTEVILLE LOMPNES,1185,2017
nan,INJOUX GENISSIAT,1144,0,0,0,0,0,01,01INJOUX GENISSIAT,1189,2017
nan,JASSANS RIOTTIER,6190,4,1,0,0,0,01,01JASSANS RIOTTIER,1194,2017
nan,BOISSE,2927,0,0,1,0,0,01,01BOISSE,1049,2017
nan,LAGNIEU,7022,1,2,0,0,0,01,01LAGNIEU,1202,2017
nan,LOYETTES,3145,1,1,0,0,0,01,01LOYETTES,1224,2017
nan,MANZIAT,1988,1,0,0,0,0,01,01MANZIAT,1231,2017
nan,MARBOZ,2231,0,0,1,0,0,01,01MARBOZ,1232,2017
nan,MASSIEUX,2516,1,0,0,0,0,01,01MASSIEUX,1238,2017
nan,MEXIMIEUX,7655,2,0,0,0,0,01,01MEXIMIEUX,1244,2017
nan,MIONNAY,2138,1,0,0,0,0,01,01MIONNAY,1248,2017
nan,MIRIBEL,9574,4,0,0,0,0,01,01MIRIBEL,1249,2017
nan,MONTLUEL,7032,3,0,0,0,0,01,01MONTLUEL,1262,2017
nan,MONTMERLE SUR SAONE,3794,1,1,0,0,0,01,01MONTMERLE SUR SAONE,1263,2017
nan,MONTREAL LA CLUSE,3409,2,0,0,0,0,01,01MONTREAL LA CLUSE,1265,2017
nan,NANTUA,3525,1,0,0,0,0,01,01NANTUA,1269,2017
nan,NEYROLLES,635,0,1,0,0,0,01,01NEYROLLES,1274,2017
nan,NEYRON,2487,1,0,0,0,0,01,01NEYRON,1275,2017
nan,NIEVROZ,1535,1,0,0,0,0,01,01NIEVROZ,1276,2017
nan,ORNEX,4390,1,1,0,0,0,01,01ORNEX,1281,2017
