CODGEO,Année,Nombre d habitants,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de chiens de patrouille de police municipale,somme_ligne
1027,2017,2997.0,1,0.0,0,0,1.0
1027,2018,2856.0,1,0.0,0,0,1.0
1031,2017,3612.0,2,0.0,0,0,2.0
1031,2018,3618.0,2,0.0,0,0,2.0
1033,2017,11809.0,6,2.0,0,0,8.0
1033,2018,11666.0,7,2.0,0,0,9.0
1034,2017,9058.0,5,4.0,0,0,9.0
1034,2018,9133.0,4,2.0,0,0,6.0
1043,2017,4529.0,4,0.0,0,0,4.0
1043,2018,4557.0,4,0.0,0,0,4.0
1046,2017,798.0,0,0.0,1,0,1.0
1046,2018,857.0,0,0.0,1,0,1.0
1049,2017,2927.0,0,0.0,1,0,1.0
1049,2018,3021.0,0,0.0,1,0,1.0
1053,2017,40819.0,23,8.0,0,0,31.0
1053,2018,41365.0,23,8.0,0,0,31.0
1072,2017,3118.0,1,0.0,0,0,1.0
1072,2018,3138.0,1,0.0,0,0,1.0
1074,2017,2407.0,0,2.0,0,0,2.0
1074,2018,2406.0,0,2.0,0,0,2.0
1082,2017,640.0,0,1.0,0,0,1.0
1082,2018,633.0,0,1.0,0,0,1.0
1093,2017,4914.0,3,0.0,0,0,3.0
1093,2018,4886.0,3,0.0,0,0,3.0
1105,2017,1418.0,0,1.0,0,0,1.0
1105,2018,1606.0,0,1.0,0,0,1.0
1108,2017,1193.0,1,0.0,0,0,1.0
1108,2018,1187.0,1,0.0,0,0,1.0
1109,2017,2195.0,3,0.0,0,0,3.0
1109,2018,2223.0,2,0.0,0,0,2.0
1138,2017,3071.0,2,0.0,0,0,2.0
1138,2018,3053.0,2,0.0,0,0,2.0
1142,2017,4573.0,1,0.0,0,0,1.0
1142,2018,4706.0,1,0.0,0,0,1.0
1143,2017,9286.0,9,0.0,0,0,9.0
1143,2018,9465.0,9,0.0,0,0,9.0
1145,2017,1234.0,0,0.0,1,0,1.0
1145,2018,1164.0,0,0.0,1,0,1.0
1148,2017,1845.0,1,0.0,0,0,1.0
1148,2018,1846.0,1,0.0,0,0,1.0
1160,2017,9482.0,4,2.0,0,0,6.0
1160,2018,9637.0,4,2.0,0,0,6.0
1173,2017,11687.0,5,1.0,0,0,6.0
1173,2018,12652.0,6,1.0,0,0,7.0
1175,2017,796.0,0,0.0,1,0,1.0
1175,2018,861.0,0,0.0,1,0,1.0
1181,2017,1213.0,0,1.0,1,0,2.0
1181,2018,1223.0,0,1.0,1,0,2.0
1185,2017,3739.0,1,0.0,0,0,1.0
