Dep,Nom Ville,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année,Nombre d habitants,Nom Département
nan,BALAN,1,0.0,0,0,01,01BALAN,1027,2016,0.0,0
nan,BELLEGARDE SUR VALSERINE,5,2.0,0,0,01,01BELLEGARDE SUR VALSERINE,1033,2016,0.0,0
nan,BELLEY,5,4.0,0,0,01,01BELLEY,1034,2016,0.0,0
nan,BELLIGNAT,2,0.0,0,0,01,01BELLIGNAT,1031,2016,0.0,0
nan,BEYNOST,3,0.0,0,0,01,01BEYNOST,1043,2016,0.0,0
nan,BIZIAT,0,0.0,1,0,01,01BIZIAT,1046,2016,0.0,0
nan,BOURG EN BRESSE,24,8.0,0,0,01,01BOURG EN BRESSE,1053,2016,0.0,0
nan,CEYZERIAT,1,0.0,0,0,01,01CEYZERIAT,1072,2016,0.0,0
nan,CHALAMONT,0,1.0,0,0,01,01CHALAMONT,1074,2016,0.0,0
nan,CHANAY,0,1.0,0,0,01,01CHANAY,1082,2016,0.0,0
nan,CHATILLON SUR CHALARONNE,3,0.0,0,0,01,01CHATILLON SUR CHALARONNE,1093,2016,0.0,0
nan,CIVRIEUX,0,0.0,1,0,01,01CIVRIEUX,1105,2016,0.0,0
nan,COLIGNY,1,0.0,0,0,01,01COLIGNY,1108,2016,0.0,0
nan,COLLONGES,2,0.0,0,0,01,01COLLONGES,1109,2016,0.0,0
nan,CULOZ,2,0.0,0,0,01,01CULOZ,1138,2016,0.0,0
nan,DAGNEUX,1,0.0,0,0,01,01DAGNEUX,1142,2016,0.0,0
nan,DIVONNE LES BAINS,9,0.0,0,0,01,01DIVONNE LES BAINS,1143,2016,0.0,0
nan,DOMPIERRE SUR VEYLE,0,0.0,1,0,01,01DOMPIERRE SUR VEYLE,1145,2016,0.0,0
nan,DORTAN,1,0.0,0,0,01,01DORTAN,1148,2016,0.0,0
nan,FERNEY VOLTAIRE,4,2.0,0,0,01,01FERNEY VOLTAIRE,1160,2016,0.0,0
nan,GEX,5,1.0,0,0,01,01GEX,1173,2016,0.0,0
nan,GORREVOD,0,0.0,1,0,01,01GORREVOD,1175,2016,0.0,0
nan,GROISSIAT,0,1.0,1,0,01,01GROISSIAT,1181,2016,0.0,0
nan,HAUTEVILLE LOMPNES,1,0.0,0,0,01,01HAUTEVILLE LOMPNES,1185,2016,0.0,0
nan,JASSANS RIOTTIER,3,1.0,0,0,01,01JASSANS RIOTTIER,1194,2016,0.0,0
nan,BOISSE,0,0.0,1,0,01,01BOISSE,1049,2016,0.0,0
nan,LAGNIEU,1,2.0,0,0,01,01LAGNIEU,1202,2016,0.0,0
nan,MANZIAT,1,0.0,0,0,01,01MANZIAT,1231,2016,0.0,0
nan,MASSIEUX,1,0.0,0,0,01,01MASSIEUX,1238,2016,0.0,0
nan,MEXIMIEUX,2,0.0,0,0,01,01MEXIMIEUX,1244,2016,0.0,0
nan,MIONNAY,1,0.0,0,0,01,01MIONNAY,1248,2016,0.0,0
nan,MIRIBEL,3,0.0,0,0,01,01MIRIBEL,1249,2016,0.0,0
nan,MONTLUEL,3,0.0,0,0,01,01MONTLUEL,1262,2016,0.0,0
nan,MONTMERLE SUR SAONE,1,1.0,0,0,01,01MONTMERLE SUR SAONE,1263,2016,0.0,0
nan,MONTREAL LA CLUSE,2,0.0,0,0,01,01MONTREAL LA CLUSE,1265,2016,0.0,0
nan,NANTUA,1,0.0,0,0,01,01NANTUA,1269,2016,0.0,0
nan,NEYROLLES,0,1.0,0,0,01,01NEYROLLES,1274,2016,0.0,0
nan,NEYRON,1,0.0,0,0,01,01NEYRON,1275,2016,0.0,0
nan,NIEVROZ,1,0.0,0,0,01,01NIEVROZ,1276,2016,0.0,0
nan,OYONNAX,14,4.0,0,2,01,01OYONNAX,1283,2016,0.0,0
nan,PERONNAS,2,0.0,0,0,01,01PERONNAS,1289,2016,0.0,0
nan,PONCIN,0,1.0,0,0,01,01PONCIN,1303,2016,0.0,0
nan,PONT D AIN,0,1.0,0,0,01,01PONT D AIN,1304,2016,0.0,0
nan,PONT DE VAUX,1,0.0,0,0,01,01PONT DE VAUX,1305,2016,0.0,0
nan,PONT DE VEYLE,0,1.0,0,0,01,01PONT DE VEYLE,1306,2016,0.0,0
nan,PREVESSIN MOENS,3,0.0,0,0,01,01PREVESSIN MOENS,1313,2016,0.0,0
nan,REYRIEUX,2,0.0,0,0,01,01REYRIEUX,1322,2016,0.0,0
nan,SAINT ANDRE DE CORCY,1,0.0,0,0,01,01SAINT ANDRE DE CORCY,1333,2016,0.0,0
nan,SAINT BERNARD,0,0.0,2,0,01,01SAINT BERNARD,1339,2016,0.0,0
nan,SAINT DENIS EN BUGEY,1,0.0,0,0,01,01SAINT DENIS EN BUGEY,1345,2016,0.0,0
nan,SAINT DENIS LES BOURG,1,0.0,0,0,01,01SAINT DENIS LES BOURG,1344,2016,0.0,0
nan,SAINT DIDIER SUR CHALARONNE,1,0.0,0,0,01,01SAINT DIDIER SUR CHALARONNE,1348,2016,0.0,0
nan,SAINT ETIENNE DU BOIS,0,0.0,1,0,01,01SAINT ETIENNE DU BOIS,1350,2016,0.0,0
nan,SAINT GENIS POUILLY,3,1.0,0,0,01,01SAINT GENIS POUILLY,1354,2016,0.0,0
nan,SAINT JEAN LE VIEUX,1,0.0,0,0,01,01SAINT JEAN LE VIEUX,1363,2016,0.0,0
nan,SAINT LAURENT SUR SAONE,1,0.0,0,0,01,01SAINT LAURENT SUR SAONE,1370,2016,0.0,0
nan,SAINT MAURICE DE BEYNOST,3,0.0,0,0,01,01SAINT MAURICE DE BEYNOST,1376,2016,0.0,0
nan,SAINT RAMBERT EN BUGEY,0,1.0,0,0,01,01SAINT RAMBERT EN BUGEY,1384,2016,0.0,0
nan,SAINT TRIVIER DE COURTES,0,1.0,0,0,01,01SAINT TRIVIER DE COURTES,1388,2016,0.0,0
nan,SEYSSEL,0,2.0,0,0,01,01SEYSSEL,1407,2016,0.0,0
nan,THOIRY,2,0.0,0,0,01,01THOIRY,1419,2016,0.0,0
nan,THOISSEY,0,1.0,0,0,01,01THOISSEY,1420,2016,0.0,0
nan,TREVOUX,1,2.0,0,0,01,01TREVOUX,1427,2016,0.0,0
nan,VILLARS LES DOMBES,2,0.0,0,0,01,01VILLARS LES DOMBES,1443,2016,0.0,0
nan,VILLIEU LOYES MOLLON,1,0.0,0,0,01,01VILLIEU LOYES MOLLON,1450,2016,0.0,0
nan,VIRIAT,1,0.0,0,0,01,01VIRIAT,1451,2016,0.0,0
nan,VONNAS,0,0.0,1,0,01,01VONNAS,1457,2016,0.0,0
Aisne (02),BEAUTOR,0,0.0,1,0,02,02BEAUTOR,2059,2016,0.0,0
Laon,BELLEU,0,0.0,1,0,02,02BELLEU,2064,2016,0.0,0
nan,CHATEAU THIERRY,0,2.0,1,0,02,02CHATEAU THIERRY,2168,2016,0.0,0
nan,CHARLY SUR MARNE,0,1.0,0,0,02,02CHARLY SUR MARNE,2163,2016,0.0,0
nan,BOHAIN EN VERMANDOIS,2,0.0,0,0,02,02BOHAIN EN VERMANDOIS,2095,2016,0.0,0
nan,FERE EN TARDENOIS,0,1.0,0,0,02,02FERE EN TARDENOIS,2305,2016,0.0,0
nan,FLAVY LE MARTEL,0,0.0,1,0,02,02FLAVY LE MARTEL,2315,2016,0.0,0
nan,GAUCHY,2,1.0,0,0,02,02GAUCHY,2340,2016,0.0,0
nan,GUISE,3,0.0,0,0,02,02GUISE,2361,2016,0.0,0
nan,FERE,0,0.0,1,0,02,02FERE,2304,2016,0.0,0
nan,FERTE MILON,0,0.0,1,0,02,02FERTE MILON,2307,2016,0.0,0
nan,LAON,5,0.0,0,0,02,02LAON,2408,2016,0.0,0
nan,MARLE,1,0.0,0,0,02,02MARLE,2468,2016,0.0,0
nan,OULCHY LE CHATEAU,0,0.0,1,0,02,02OULCHY LE CHATEAU,2580,2016,0.0,0
nan,PINON,0,1.0,0,0,02,02PINON,2602,2016,0.0,0
nan,SAINT QUENTIN,28,9.0,0,0,02,02SAINT QUENTIN,2691,2016,0.0,0
nan,SOISSONS,6,8.0,0,0,02,02SOISSONS,2722,2016,0.0,0
nan,VIRY NOUREUIL,1,0.0,0,0,02,02VIRY NOUREUIL,2820,2016,0.0,0
Allier (03),ABREST,1,0.0,0,0,03,03ABREST,3001,2016,0.0,0
Moulins,AINAY LE CHATEAU,0,0.0,1,0,03,03AINAY LE CHATEAU,3003,2016,0.0,0
nan,AVERMES,2,0.0,0,0,03,03AVERMES,3013,2016,0.0,0
