CODGEO,Année,somme_ligne_effectifs,Nombre d habitants,CODGEO_2024,annee,somme_ligne_delits
11425,2018,1.0,0.0,11425,2018,24
11202,2018,16.0,0.0,11202,2018,476
11172,2018,1.0,0.0,11172,2018,0
11170,2018,15.0,0.0,11170,2018,407
11129,2018,4.0,0.0,11129,2018,44
11116,2018,5.0,0.0,11116,2018,82
11106,2018,4.0,0.0,11106,2018,159
11436,2018,1.0,0.0,11436,2018,0
11049,2018,3.0,0.0,11049,2018,121
11048,2018,0.0,0.0,11048,2018,0
11014,2018,4.0,0.0,11014,2018,0
11012,2018,2.0,0.0,11012,2018,26
11441,2018,2.0,0.0,11441,2018,74
73225,2017,1.0,0.0,73225,2017,64
6136,2018,0.0,0.0,6136,2018,94
45145,2017,2.0,0.0,45145,2017,82
11429,2018,3.0,0.0,11429,2018,44
11206,2018,5.0,0.0,11206,2018,377
11099,2018,2.0,0.0,11099,2018,25
11258,2018,1.0,0.0,11258,2018,19
11379,2018,5.0,0.0,11379,2018,227
11255,2018,2.0,0.0,11255,2018,21
11360,2018,2.0,0.0,11360,2018,23
11353,2018,1.0,0.0,11353,2018,29
11304,2018,3.0,0.0,11304,2018,61
11295,2018,2.0,0.0,11295,2018,17
11370,2018,2.0,0.0,11370,2018,103
11285,2018,1.0,0.0,11285,2018,28
11279,2018,2.0,0.0,11279,2018,23
11269,2018,1.0,0.0,11269,2018,34
11266,2018,11.0,0.0,11266,2018,255
11397,2018,9.0,0.0,11397,2018,161
11264,2018,1.0,0.0,11264,2018,0
11262,2018,56.0,0.0,11262,2018,3541
91552,2018,6.0,12.0,91552,2018,385
33066,2018,1.0,95.0,33066,2018,0
33066,2017,1.0,103.0,33066,2017,0
66043,2017,1.0,136.0,66043,2017,0
66043,2018,1.0,138.0,66043,2018,0
83039,2018,1.0,147.0,83039,2018,0
64061,2018,1.0,155.0,64061,2018,40
83039,2017,0.0,165.0,83039,2017,0
66117,2017,2.0,181.0,66117,2017,0
66117,2018,2.0,181.0,66117,2018,0
46256,2018,2.0,207.0,46256,2018,0
46256,2017,2.0,211.0,46256,2017,0
80133,2018,1.0,242.0,80133,2018,0
80133,2017,1.0,242.0,80133,2017,0
41168,2018,1.0,249.0,41168,2018,0
41168,2017,1.0,250.0,41168,2017,0
34261,2018,2.0,255.0,34261,2018,18
34261,2017,2.0,259.0,34261,2017,15
5110,2018,5.0,284.0,5110,2018,15
5110,2017,7.0,288.0,5110,2017,20
64204,2018,1.0,295.0,64204,2018,14
5106,2018,1.0,298.0,5106,2018,0
77012,2017,1.0,309.0,77012,2017,0
77012,2018,1.0,309.0,77012,2018,0
5106,2017,1.0,310.0,5106,2017,0
9322,2017,1.0,311.0,9322,2017,0
31464,2018,1.0,314.0,31464,2018,0
9322,2018,1.0,314.0,9322,2018,0
31464,2017,1.0,314.0,31464,2017,0
91507,2018,1.0,315.0,91507,2018,0
91507,2017,1.0,315.0,91507,2017,0
80832,2018,1.0,316.0,80832,2018,0
80832,2017,1.0,325.0,80832,2017,0
83052,2017,0.0,341.0,83052,2017,0
83052,2018,1.0,344.0,83052,2018,0
64204,2017,1.0,347.0,64204,2017,22
62677,2018,1.0,350.0,62677,2018,0
80058,2018,1.0,351.0,80058,2018,0
80058,2017,1.0,355.0,80058,2017,0
62677,2017,1.0,361.0,62677,2017,0
13011,2018,4.0,368.0,13011,2018,51
45223,2018,1.0,381.0,45223,2018,0
13011,2017,3.0,381.0,13011,2017,34
11436,2017,1.0,383.0,11436,2017,0
45223,2017,1.0,387.0,45223,2017,0
4073,2018,1.0,390.0,4073,2018,0
4073,2017,2.0,405.0,4073,2017,0
89426,2017,1.0,405.0,89426,2017,0
89426,2018,1.0,406.0,89426,2018,0
34068,2018,1.0,408.0,34068,2018,0
34068,2017,1.0,408.0,34068,2017,0
4081,2018,1.0,422.0,4081,2018,15
4081,2017,1.0,430.0,4081,2017,10
60163,2017,1.0,445.0,60163,2017,0
60163,2018,1.0,448.0,60163,2018,0
77331,2018,1.0,457.0,77331,2018,0
77331,2017,1.0,457.0,77331,2017,0
24355,2017,1.0,459.0,24355,2017,5
24355,2018,1.0,467.0,24355,2018,5
91121,2018,1.0,471.0,91121,2018,0
91121,2017,1.0,471.0,91121,2017,0
24086,2018,2.0,471.0,24086,2018,0
24086,2017,1.0,473.0,24086,2017,0
60180,2018,1.0,476.0,60180,2018,0
45255,2017,1.0,480.0,45255,2017,0
45255,2018,1.0,480.0,45255,2018,0
5085,2018,4.0,483.0,5085,2018,37
60180,2017,1.0,488.0,60180,2017,0
12106,2017,1.0,500.0,12106,2017,0
12106,2018,1.0,503.0,12106,2018,0
73057,2017,4.0,507.0,73057,2017,13
73073,2018,1.0,510.0,73073,2018,10
4066,2018,1.0,512.0,4066,2018,0
66085,2017,1.0,513.0,66085,2017,0
66085,2018,1.0,513.0,66085,2018,0
62463,2018,1.0,515.0,62463,2018,0
73073,2017,1.0,516.0,73073,2017,22
73057,2018,2.0,524.0,73057,2018,16
73307,2018,1.0,525.0,73307,2018,33
73307,2017,1.0,525.0,73307,2017,33
5085,2017,6.0,527.0,5085,2017,35
4066,2017,1.0,527.0,4066,2017,0
66004,2018,2.0,541.0,66004,2018,15
66004,2017,2.0,541.0,66004,2017,18
24040,2018,2.0,552.0,24040,2018,0
62463,2017,1.0,559.0,62463,2017,0
24040,2017,2.0,560.0,24040,2017,0
5012,2017,1.0,568.0,5012,2017,16
5098,2017,6.0,575.0,5098,2017,92
5098,2018,5.0,575.0,5098,2018,77
12234,2017,1.0,578.0,12234,2017,0
4226,2018,2.0,582.0,4226,2018,58
66137,2017,4.0,591.0,66137,2017,39
66137,2018,3.0,591.0,66137,2018,36
60482,2018,1.0,593.0,60482,2018,84
5012,2018,1.0,593.0,5012,2018,5
4226,2017,2.0,596.0,4226,2017,66
11172,2017,1.0,600.0,11172,2017,0
12234,2018,1.0,602.0,12234,2018,0
